Function Name,Defined In,Called In
AddBezierPoint,bezier_editor.c,"bezier_editor.c, bezier_editor.h"
AddObject,Unknown,object_editor.h
AddSceneObject,Unknown,object_editor.c
AnimationCleanup,animation.c,"animation.h, animation copy.c, animation copy.h, animation.c"
AnimationInit,animation.c,"animation.h, animation copy.c, animation copy.h, animation.c"
ApplyBlur,ray_tracing2.c,ray_tracing2.c
ApplyGaussianBlur,ray_tracing2.c,ray_tracing2.c
ApplyGaussianBlurWithEdgePreservation,ray_tracing2.c,ray_tracing2.c
ApplyHeavyBlur,ray_tracing2.c,ray_tracing2.c
BOTTOM_BUTTON_MARGIN_X_EXIT,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_X_RESTORE,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_X_SAVE,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_X_START,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_Y_EXIT,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_Y_RESTORE,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_Y_SAVE,Unknown,sdl_menu.c
BOTTOM_BUTTON_MARGIN_Y_START,Unknown,sdl_menu.c
BezierInterpolation,Unknown,path_system.c
Buttons,Unknown,sdl_menu.c
CheckLoopConditions,animation.c,animation.c
CleanupRayTracing,ray_tracing2.c,"ray_tracing2.c, ray_tracing2.h, animation.c"
CollidesWithObject,ray_tracing.c,"ray_tracing2.c, ray_tracing2 copy.c, ray_tracing.c"
Color,Unknown,object_manager.h
CubicBezierInterpolation,Unknown,path_system.c
DeCasteljau,Unknown,path_system.c
DeselectObject,Unknown,object_editor.h
DestroyPath,path_system.c,"path_system.h, path_system.c"
DestroySceneEditor,scene_editor.c,"scene_editor.h, scene_editor.c"
DrawRay,Unknown,ray_tracing.c
EnsureDirectoryExists,Unknown,animation.c
Fields,Unknown,sdl_menu.c
FillCircle,ray_tracing.c,"ray_tracing2.c, ray_tracing2 copy.c, ray_tracing.c"
FillLitCircle,ray_tracing.c,"ray_tracing2.c, ray_tracing2 copy.c, ray_tracing.c"
FillRays,Unknown,"ray_tracing2.c, ray_tracing2 copy.c, ray_tracing.c"
GetCurrentLightPosition,ray_tracing2.c,"animation copy.c, ray_tracing2 copy.h, ray_tracing2.c, ray_tracing2.h, animation.c, ray_tracing2 copy.c"
GetPositionAlongPath,path_system.c,"path_system.c, path_system.h, animation.c"
GetSimulatedLightPosition,Unknown,animation copy.c
HandleBezierEditorEvents,bezier_editor.c,"bezier_editor.c, bezier_editor.h, scene_editor.c"
HandleBezierEditorKeyPress,bezier_editor.c,bezier_editor.c
HandleBezierEditorMouseClick,bezier_editor.c,bezier_editor.c
HandleCameraEditorEvents,camera_editor.c,"camera_editor.c, scene_editor.c, camera_editor.h"
HandleEvents,animation.c,animation.c
HandleKeyPress,sdl_menu.c,sdl_menu.c
HandleMouseClick,sdl_menu.c,sdl_menu.c
HandleMouseMotion,sdl_menu.c,sdl_menu.c
HandleObjectEditorEvents,object_editor.c,"object_editor.c, scene_editor.c, object_editor.h"
HandleObjectEditorKeyPress,object_editor.c,"object_editor.c, object_editor.h"
HandleObjectEditorMouseClick,object_editor.c,"object_editor.c, object_editor.h"
HandleObjectEditorMouseDrag,object_editor.c,"object_editor.c, object_editor.h"
HandleObjectEditorMouseRelease,object_editor.c,"object_editor.c, object_editor.h"
HandleSceneEditorEvents,scene_editor.c,"scene_editor.h, scene_editor.c"
HandleSliderClick,sdl_menu.c,sdl_menu.c
InitObject,object_manager.c,"object_manager.c, object_editor.c, object_manager.h"
